Name	Set	Imagefile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Trait	Flavour	Ability1	Ability2	Ability3
Soul Hacker Sion	S10	MBS10-032_R	CH	G	R	MB/S10-032	3	2	10000	2	1	Alchemist, Weapon	I hate to say this, but I have evolved. I no longer have that pessimistic view	[A] When this card comes to Stage from hand or through <<CHANGE>>, you may place the top card of your Clock into Waiting Room.	[A] [Place all your Stock into Waiting Room] When this card attacks, if <<For A Friend's Sake>> is in your Climax slot and you have 3 or more cards in Stock, you may pay this cost. If you do, choose up to 2 of your opponent's Characters, during this turn, it gets -X Power. X is equals to the number of cards place into Waiting Room from Stock by this ability's cost ×1000.	
Mecha Hisui	S10	MBS10-033_U	CH	G	U	MB/S10-033	0	0	2000	1	0	Maid, Mecha	*beep-beep*. Intruders, evicting	[S] [(1) Place 1 of your <<Neco Arc>> from Stage to Waiting Room] Choose 1 of your opponent's Front Row Characters, during this turn, it gets -3000 Power.		
Neco Arc	S10	MBS10-034_U	CH	G	U	MB/S10-034	0	0	2500	1	0	Animal	Use your full power even against a cat nya~	[A] [(1)] When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, choose 1 card from your Level slot and 1 card from your Waiting Room, exchange them.		
Night Of Wallachia	S10	MBS10-035_U	CH	G	U	MB/S10-035	1	0	5000	1	0	Blood	Finished already? Just as I was about to get serious...	[C] EXPERIENCE If the total Level of cards in your Level slot is 2 or higher, this card gains the following ability.<<[A] When the Character battling this card is Level 1 or higher becomes REVERSE, you may place the top card of your Deck into Stock.>>		
Bajiquan User Miyako	S10	MBS10-036_U	CH	G	U	MB/S10-036	2	1	1000	1	1	-	Okay, it's my perfect victory again!	[C] If your opponent has a <Animal> Character, this card gets +6000 Power.	[S] [COUNTER] ASSIST 3000 Level 2[(1) Discard this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +3000 Power.)	
TATARI's Successor Vampire Sion	S10	MBS10-037_U	CH	G	U	MB/S10-037	2	2	8500	2	1	Alchemist, Blood	If you can't admit it, I shall take you out by my hand	[C] EXPERIENCE If the total Level of card in your Level slot is 3 or higher, this card gets +1000 Power.		
Riesbyfe's Friend Sion	S10	MBS10-038_C	CH	G	C	MB/S10-038	0	0	500	1	0	Alchemist, Weapon	--Just as I predicted. I can still make it in time. Please hold on, Ries	[C] All your other <<Sion's Friend Riesbyfe>> gets +1000 Power.	[A] BOND/<<Sion's Friend Riesbyfe>>[(1)] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<Sion's Friend Riesbyfe>> from your Waiting Room, return to hand)	
27 Ancestors Night Of Wallachia	S10	MBS10-039_C	CH	G	C	MB/S10-039	0	0	1500	1	0	Blood	Loop, loop, loop, loop, loop, loop, loop, loop...! All the sighs of the beautiful life! The fake reality that leads to a horrible end!	[A] [(2)] When this card is placed on Stage from hand, you may pay this cost. If you do, search your Deck for 1 <Blood> Character, show it to your opponent, then place it in your hand. Shuffle your Deck afterwards.		
Arima Miyako	S10	MBS10-040_C	CH	G	C	MB/S10-040	0	0	2500	1	0	-	I'm going!	[S] [(1)] During this turn, this card gets +2000 Power.		
Riesbyfe Stridberg	S10	MBS10-041_C	CH	G	C	MB/S10-041	0	0	3000	1	0	Shield, Weapon	Can this be fixed... I want one too...			
ATLAS Affiliate Sion	S10	MBS10-042_C	CH	G	C	MB/S10-042	1	1	5000	1	1	Alchemist, Weapon	Riesbyfe, why are you so nice to that Satsuki!	[C] EXPERIENCE If the total Level of cards in your Level slot is 2 or higher, this card gets +1000 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Sion's Friend Riesbyfe	S10	MBS10-043_C	CH	G	C	MB/S10-043	1	1	5000	1	1	Shield, Weapon	All the mystery about that body will be broken---!	[C] If you have another card in the Front Row with <<Sion>> in its name, this card gets +2000 Power.		
Vampire Sion	S10	MBS10-044_C	CH	G	C	MB/S10-044	1	1	7000	1	0	Alchemist, Blood	All that stands in my way will be decimated by these claws and teeth...! 			
Dust Of Osiris	S10	MBS10-045_C	CH	G	C	MB/S10-045	2	2	8500	2	1	Alchemist, Mecha	Attempting to transmute the intruder into Philosopher's Stone----!!	[A] When the Character battling this card is Level 2 or higher becomes REVERSE, you may place the top card of your Deck into Stock.		
New TATARI	S10	MBS10-046_U	EV	G	U	MB/S10-046	1	1			0		Osiris, let's see you melt the sand here without a trace. I shall use your technology	[COUNTER]Choose 1 of your Characters, during this turn, it gets +4500 Power. Place this card into Clock.		
By Your Hand…	S10	MBS10-047_U	EV	G	U	MB/S10-047	2	2			0		Ries: "... Now, sleep, Sion. Let's not get caught up in a nightmare this time"	Choose 1 of your opponent's Characters, during this turn, it gets -4000 Power.		
True Apocrypha Gamaliel	S10	MBS10-048_CR	CX	G	CR	MB/S10-048					S		Sing, Gamaliel!	[C] All your Characters get +1000 Power, +1 Soul.		
Barrel Replica	S10	MBS10-049_CC	CX	G	CC	MB/S10-049					G		Barrel Replica, full trance!	[C] All your Characters get +1000 Power, +1 Soul.		
For A Friend's Sake	S10	MBS10-050_CC	CX	G	CC	MB/S10-050					2		Ries: "Eh? Where is this... Sion? I'm... still here?"	[A] When this card comes on Stage from hand, put the top card of your Deck to Stock. During this turn, all of your Characters get +1 Soul.		
Tohno Akiha	S10	MBS10-051_RR	CH	R	RR	MB/S10-051	2	2	8000	2	1	Blood	Understand...!	[C] If you have 2 or more <Blood> Characters, this card gets +1000 Power.	[A] [(1)] When this card attacks, if <<"Crimson Lord" Imprisoning Hair>> is in your Climax slot, you may pay this cost. If you do, choose 1 Character from your Waiting Room, return it to hand, during this turn, this card gets +3000 Power.	
Cleanliness Loving Hisui	S10	MBS10-052_RR	CH	R	RR	MB/S10-052	1	1	5000	1	1	Twins, Maid	Please leave	[C] EXPERIENCE If the total Level of card in your Level slot is 2 or higher, this card gets +500 Power, gains <<[A] ENCORE[Discard 1 Character from hand]>>.	[A] When <<Sisters' Bond>> is placed into your Climax slot, during this turn, this card gets +1000 Power, and gains the following ability.[[A] When the Character battling this card becomes REVERSE, you may put that Character to the top of Deck.] 	
Apron Demon Kohaku	S10	MBS10-053_R	CH	R	R	MB/S10-053	0	0	500	1	0	Twins, Kimono	Want to come back when you feel better?	[C] SUPPORT All Characters in front of this card gets +500 Power.	[S] [Put 2 of your Characters to REST] Choose 1 of your <Twins> Characters, during this turn, it gets +1000 Power.	
Mixed Blood Akiha	S10	MBS10-054_R	CH	R	R	MB/S10-054	0	0	1000	1	0	Blood		[A] When this card becomes REVERSE, if the Character battling this card is Level 0 or lower, you may put that Character to REVERSE.	[A] EXPERIENCE [(1)] When this card is placed on Stage from hand, if the total Level of card in your Level slot is 3 or higher, you may pay this cost. If you do, choose 1 Character from your Waiting Room, return it to hand, choose 1 card from your hand, place it into Waiting Room.	
Cheerful Housekeeper Kohaku	S10	MBS10-055_R	CH	R	R	MB/S10-055	1	0	4500	1	0	Twins, Kimono	Okay, I won't lose-!	[A] [(1)] When this card attacks, if <<Sisters' Bond>> is in your Climax slot, you may pay this cost. If you do, choose 1 Character from your Waiting Room, return it to hand.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Asagami Private Girls' Academy Student Akiha	S10	MBS10-056_R	CH	R	R	MB/S10-056	1	1	3000	1	1	Blood	Can you tell me everything slooooooooowly?	[C] SUPPORT All Characters in front with Level 2 or higher get +1000 Power.	[S] [Put 2 of your <Blood> Characters to REST] Choose 1 Character from your opponent's Waiting Room, place it on top of Deck.	
House Tohno Servant Hisui	S10	MBS10-057_R	CH	R	R	MB/S10-057	2	2	8000	2	1	Twins, Maid	Shiki-sama, please come this way	[C] EXPERIENCE If the total Level of cards in your Level slot is 3 or higher, this card gets +1000 Power.	[A] [(1) Discard 1 card from hand] When this card is placed on Stage from hand, you may pay this cost. If you do, search your Deck for 1 <<House Tohno Servant Kohaku>>, show it to your opponent, then place it into hand. Shuffle your Deck afterwards.	
House Tohno Head Akiha	S10	MBS10-058_U	CH	R	U	MB/S10-058	0	0	500	1	0	Blood	If you're not going to hear what I'm saying, I shall use force and make you leave!	[C] SUPPORT All Characters in front of this card gets +1 Level.	[A] CHANGE [Discard 1 card from hand, place this card to Waiting Room] At the beginning of your Climax Phase, you may pay this cost. If you do, choose 1 <<Crimson Scarlet Vermilion Akiha>> from your Waiting Room, place it into this card's previous slot.	
Thinking Of Elder Sister Hisui	S10	MBS10-059_U	CH	R	U	MB/S10-059	0	0	2500	1	0	Twins, Maid	Are you okay, big sis?	[C] If you have 2 or more other <Twins> Characters, this card gets +1000 Power.		
Doctor Amber Kohaku	S10	MBS10-060_U	CH	R	U	MB/S10-060	1	1	500	1	1	Twins, Kimono	That's right, this is the end of the world. And the mysterious hooded figure is me----	[S] [(3) Place 1 of your Level 2 or higher card on Stage with <<Akiha>> in its name into Waiting Room, put this card to REST] Choose 1 <<G Akiha>> from your Waiting Room, place it on Stage in any slot.	[S] [COUNTER] ASSIST 2000 Level 1[(1) Discard this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +2000 Power.)	
House Tohno Servant Kohaku	S10	MBS10-061_U	CH	R	U	MB/S10-061	2	1	7000	1	1	Twins, Kimono	I'm getting excited~	[C] If you have another <<House Tohno Servant Hisui>>, this card gets +1500 Power.	[C] All of your other <<House Tohno Servant Hisui>> gets +1500 Power.	
G Akiha	S10	MBS10-062_U	CH	R	U	MB/S10-062	3	2	10000	2	1	Blood	I shall give you a severe beating	[A] [(1)] When this card is placed to Stage from hand or through a Character's [S] ability, you may pay this cost. If you do, choose 1 of your opponent's Characters with Level 2 or less, place it into Waiting Room.	[S] [(1) Discard 1 card from hand] During this turn, this card gets +5500 Power.	
Hisui	S10	MBS10-063_C	CH	R	C	MB/S10-063	0	0	500	1	0	Twins, Maid	...The organization of the library is now done...	[A] BOND/<<Cheerful Housekeeper Kohaku>>[(1)] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<Cheerful Housekeeper Kohaku>> from your Waiting Room, return to hand)	[S] [Put this card to REST] Choose 1 of your <<Kohaku>> Characters, during this turn, this card gets +500 Power.	
China Dress Kohaku & Hisui	S10	MBS10-064_C	CH	R	C	MB/S10-064	0	0	2000	1	0	Twins, Maid	Kick-!	[A] [Put 1 of your STAND Character to REST] When your other Character is placed on Stage, you may pay this cost. If you do, during this turn, this card gets +1500 Power.		
Intimate Sisters Hisui & Kohaku	S10	MBS10-065_C	CH	R	C	MB/S10-065	0	0	2500	1	0	Twins, Kimono	Kohaku: "Okay, ready" Kohaku & Hisui: "Boo-!"	[A] [(1)] When this card attacks, you may pay this cost. If you do, choose up to 2 of your Characters, during this turn, they get +1000 Power.		
Pyjama Akiha	S10	MBS10-066_C	CH	R	C	MB/S10-066	0	0	3000	1	0	Blood	..The girls told me to, so I did it, but is this okay for telling horror stories?			
Shiki's Attendant Hisui	S10	MBS10-067_C	CH	R	C	MB/S10-067	1	0	5500	1	0	Twins, Maid	Kohaku: "Shhh! Don't wake up Hisui who looks like she's taking a wonderful midday nap!"			
Crimson Scarlet Vermilion Akiha	S10	MBS10-068_C	CH	R	C	MB/S10-068	1	0	6500	1	0	Blood	Even though this isn't a friendly look that helps people, I shall fight with all my power	[A] At the beginning of your Draw Phase, choose 1 of your Front Row Characters with Level 1 or lower, place it into Waiting Room.		
Uniform Akiha	S10	MBS10-069_C	CH	R	C	MB/S10-069	2	1	7500	1	1	Blood	Wow--- big brother, what do you ----	[A] [(2)] When this card attacks, if <<"Crimson Lord Revival" Scarlet Hammer>> is in your Climax slot, you may pay this cost. If you do, deal 1 damage to your opponent, during this turn, this card gets +3000 Power.(This damage can be cancelled)		
Kishima Kouma	S10	MBS10-070_C	CH	R	C	MB/S10-070	2	2	9000	2	1	Blood	What an oni needs is the custom that the end always gets eaten by oni			
Ruling Over Humanity Plan	S10	MBS10-071_U	EV	R	U	MB/S10-071	1	4			0		Now, phase 3 of "Humanities Master Plan" starts	Search your Deck for up to 3 <Maid> Characters with Cost 0 or lower, place them in different slots on Stage. Shuffle your Deck afterwards.		
End Of The Dream	S10	MBS10-072_U	EV	R	U	MB/S10-072	2	1			0		Whether it is a good thing or a bad thing, now--	[COUNTER]Choose 1 of your Characters, during this turn, it gets +2000 Power, and the following ability.<<[A] When the card battling this card becomes REVERSE, you may place that card on top of Deck.>>At the end of turn, place that Character to Memory.		
Crimson Lord Imprisoning Hair	S10	MBS10-073_CR	CX	R	CR	MB/S10-073					D		I shall take all that you have...!	[C] All your Characters get +1000 Power, +1 Soul.		
Crimson Lord Revival Scarlet Hammer	S10	MBS10-074_CC	CX	R	CC	MB/S10-074					2		Taste the Origami of Tohno household!	[A] When this card comes to Stage from hand, draw 1 card. Choose 1 of your Characters, during this turn, it gets +2000 Power, +1 Soul.		
Sisters' Bond	S10	MBS10-075_CC	CX	R	CC	MB/S10-075					2		Kohaku: "If Shiki would help us, even Akiha-sama - as stubborn as frozen tundra - would be crushed in one hit!"	[A] When this card comes on Stage from hand, put the top card of your Deck to Stock. During this turn, all of your Characters get +1 Soul.		
Black Keys User Ciel	S10	MBS10-076_RR	CH	B	RR	MB/S10-076	1	1	5000	1	1	Curry, Weapon	Disappear, dropout. You've fallen from that scale	[C] EXPERIENCE During your opponent's turn, If the total Level of cards in your Level slot is 1 or higher, this card gets +1500 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Vampire Of Justice Satsuki	S10	MBS10-077_RR	CH	B	RR	MB/S10-077	2	1	8000	1	1	Blood	No!	[A] When <<Reality Marble "Depletion Garden">> is placed into your Climax slot, if this card is in the Front Row, you may choose 1 <Blood> Character with Level 1 or less from your Waiting Room, place it into Front Row in any empty slot.		
Burial Agency Number 7 Ciel	S10	MBS10-078_R	CH	B	R	MB/S10-078	0	0	2500	1	0	Curry, Weapon	No. 7 of the Burial Agency isn't just a name for show, do you know now?	[A] When this card is placed on Stage from hand, if you have 2 or more other <Weapon> Characters, during this turn, this card gets +2000 Power.		
Fifth Magic Successor Aoko	S10	MBS10-079_R	CH	B	R	MB/S10-079	0	0	2500	1	0	Magic	*streches*	[A] When this card attacks, place the top card of your Deck into Waiting Room. If that card is a Climax, draw 1 card, then choose 1 card from your hand, place into Waiting Room.		
Chaos Nrvnqsr Chaos	S10	MBS10-080_R	CH	B	R	MB/S10-080	1	0	4500	1	0	Blood, Animal	Holding the agony amongst killers and breaking the world - an end fitting for a supreme being!	[S] [(3)] Search your Deck for up to 1 <Animal> with Level 1 or lower, place it on Stage in any slot. Shuffle your Deck afterwards.		
Agent Ciel	S10	MBS10-081_R	CH	B	R	MB/S10-081	2	2	7500	2	1	Curry, Weapon	After experiencing a death worse than suffered by those that laid hands on me, I have finally become the action executioner known as Ciel	[A] [(1)] When this card attacks, if <<Dead Apostle Elimination>> is in your Climax slot, you may pay this cost. If you do, draw 1 card, during this turn, this card gets +3000 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Ciel	S10	MBS10-082_R	CH	B	R	MB/S10-082	3	2	10000	2	1	Curry, Weapon	You shall pay for your crime here for all the lives you have taken!	[A] EXPERIENCE [(4)] When this card is placed on Stage from hand, If the total Level of cards in your Level slot is 6 or higher, you may pay this cost. If you do, during this turn, this card gains the following ability.<<[A] This ability can only be used 1 time each turn. When this card attacks, you may put this card to STAND.>>		
Shiki's Senpai Ciel	S10	MBS10-083_U	CH	B	U	MB/S10-083	0	0	500	1	0	Curry, Weapon	Let me take care of this, Tohno should go home first	[A] BOND/<<"Mystic Eyes Of Death Perception" Shiki>>[(1)] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<"Mystic Eyes Of Death Perception" Shiki>> from your Waiting Room, return to hand)	[S] [(3)] Choose 1 of your opponent's Character. That Character cannot STAND during your opponent's next Stand Phase.	
Yumizuka Satsuki	S10	MBS10-084_U	CH	B	U	MB/S10-084	0	0	500	1	0	Blood	It might hurt a little, but I'm sorry!	[A] ALARM If this card is on top of your Clock, at the beginning of your Climax Phase, you may choose 1 card in your Level slot and 1 card from your Waiting Room, exchange them.		
Back Alley Alliance Satsuki	S10	MBS10-085_U	CH	B	U	MB/S10-085	1	1	5500	1	1	Blood	Newborn Back-Alley Alliance, let's go!	[A] CHANGE [(1) Discard 1 card from hand, place this card into Waiting Room] At the beginning of your Climax Phase, you may pay this cost. If you do, choose 1 <<Vampire Of Justice Satsuki>> from your Waiting Room, place it into this card's previous slot.		
Unrivaled Curry Lover Ciel	S10	MBS10-086_U	CH	B	U	MB/S10-086	2	1	3500	1	1	Curry, Weapon	...Eh, this town is full of people who don't spread rumors, so leaving it be will be oaky	[C] SUPPORT All your Characters in front of this card gets +X Power. X is equals to that Charater's Level ×500.	[A] When this card is played on Stage from hand, draw 1 card, then choose 1 card from your hand, place it into Waiting Room.	
Destruction Specialist Magician Aoko	S10	MBS10-087_U	CH	B	U	MB/S10-087	2	2	7500	2	1	Magic	Oh well, I shall take up the request of a weak group to earn money for my travel	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	[S] [(2)] During this turn, this card gets +5000 Power.	
Unfortunate Novice Vampire Satsuki	S10	MBS10-088_C	CH	B	C	MB/S10-088	0	0	500	1	0	Blood	Hey, good, good	[C] SUPPORT All your Characters in front of this card gets +500 Power.	[C] EXPERIENCE If the total Level of cards in your Level slot is 3 or higher, this card gains the following ability.<<[C] SUPPORT During your opponent's turn, all your Characters in front of this card gets +500 Power.>>	
Heretic Hunter Ciel	S10	MBS10-089_C	CH	B	C	MB/S10-089	0	0	3000	1	0	Curry, Weapon	The instant of you dying is the last redemption given to you			
Sorceress Aoko	S10	MBS10-090_C	CH	B	C	MB/S10-090	0	0	3500	1	0	Magic	Even though I look like this, I'm actually quite busy. We shall meet again if fate wills it	[A] At the beginning of your Climax Phase, your opponent will look at the top of his/her Deck, place it on top or bottom of Deck.		
