Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Trait	Flavour	Ability1	Ability2	Ability3
Always Smiling Sheryl	S11	MKS11-012_U	CH	Y	U	MK/S11-012	2	1	7000	1	1	Detective, Camera	I found something interesting!	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	[S] [REST 1 of your <Detective> Characters] During this turn, this card gets +1000 Power.	
Sheryl & Kamaboko	S11	MKS11-013_C	CH	Y	C	MK/S11-013	0	0	500	1	0	Detective, Camera	Hey, don't move!	[C] During your turn, for each of your other <Detective> Characters, this card gets +500 Power.	[A] BOND/<<Cat-Ear Nero>> [(1)] [(1)] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<Cat-Ear Nero>> from your Waiting Room, return to hand)	
Console Operating Nero	S11	MKS11-014_C	CH	Y	C	MK/S11-014	0	0	2000	1	0	Detective, Sweets	Physically offline... uncontrollable...	[A] When this card is placed on Stage from hand, reveal the top card of your Deck. If that card is a <Detective> Character, place it into hand, choose 1 card from your hand, place it into Waiting Room.(If its not, return it to its original position)		
Three Cards Twenty	S11	MKS11-015_C	CH	Y	C	MK/S11-015	0	0	2500	1	0	Phantom Thief, Narcissist	Please allow me to undertake that mission!	[C] During your turn, this card gets +1000 Power.		
Yukata Nero	S11	MKS11-016_C	CH	Y	C	MK/S11-016	0	0	3000	1	0	Detective, Sweets	With the three of us it's also three times as fun, no?			
Nero & Sheryl	S11	MKS11-017_C	CH	Y	C	MK/S11-017	1	1	7000	1	0	Detective, Sweets	Sheryl: "Look, Nero! Over there"			
Classmate Nezu-kun	S11	MKS11-018_C	CH	Y	C	MK/S11-018	2	1	8000	1	1	Phantom Thief, Flame	Because of you jumping the gun, the plans of Miss Henriette all got ruind!	[S] [(1)] During this turn, this card gets +1 Soul.		
Three Cards Stone River	S11	MKS11-019_C	CH	Y	C	MK/S11-019	2	2	9000	2	1	Phantom Thief, Weapon	I shall do it with Miss Arséne's orders			
All-Powerful Toys?	S11	MKS11-020_U	EV	Y	U	MK/S11-020	1	1			0		I thought of myself like that	[COUNTER] Choose 1 of your <Detective> Characters, during this turn, it gets +2500 Power, +1 Soul.		
Sweets Detective	S11	MKS11-021_U	EV	Y	U	MK/S11-021	3	4			0		So? Wanna have some snacks?	Choose up to 6 cards from your opponent's Waiting Room, return them into Deck. Your opponent shuffles the Deck afterwards.		
Food Collecting	S11	MKS11-022_C	EV	Y	C	MK/S11-022	2	0			0			Choose 1 of your Characters, during this turn it gets +5000 Power.	If your opponent has 0 cards in his/her Clock, during this turn, he/she cannot use <<[A] ENCORE >>.	
Stealth Toys	S11	MKS11-023_CR	CX	Y	CR	MK/S11-023					1W		Stop, STOP! No no no, you want to die?	[C] All your Characters gets +1000 Power, +1 Soul.		
Just You And Me On A Date	S11	MKS11-024_CC	CX	Y	CC	MK/S11-024					1F		Kobayashi "What do you mean, no one else is coming?" Nero "Don't worry about that!"	[C] All your Characters get +1000 Power, +1 Soul.		
Encounter With Opera	S11	MKS11-025_CC	CX	Y	CC	MK/S11-025					2		Kyaaaaaaaaaa!!!	[C] All your Characters get +2 Soul.		
Book Loving Elly	S11	MKS11-026_RR	CH	G	RR	MK/S11-026	2	1		1	1	Detective, Book	If I don't feel okay in front of everyone...	[A] CHANGE [(1) Place this card into Waiting Room] At the beginning of your Draw Phase, you may pay this cost. If you do, choose 1 <<Halloween Night Elly>> from your Waiting Room, place it into this card's previous slot.	[S] [REST this card] Place the top card of your Deck into Stock.	
Shy Elly	S11	MKS11-027_RR	CH	G	RR	MK/S11-027	1	0	4000	1	0	Detective, Book	Don't looooooook!!!!!	[A] When this card is placed on Stage from hand, choose 1 of your <Detective> Characters, during this turn, it gets +1500 Power.	[A] When this card attacks, if <<Transcend>> is in your Climax slot, choose 1 of your opponent's Front Row Characters, during this turn, it gets -2000 Power.	
Jumping To Conclusions Cordelia	S11	MKS11-028_R	CH	G	R	MK/S11-028	0	0	0	1	0	Detective, Sports	What! Not just the two of us! We have to be with everyone else!	[A] [(1)] When this card is placed on Stage from hand, you may pay this cost. If you do, look at the top card of your opponent's Deck, place it to the top or bottom of Deck.	[A] BOND/<<Shy Elly>>[Place the top card of your Deck to Clock] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<Shy Elly>> from your Waiting Room, return to hand)	
Elly & Nero	S11	MKS11-029_R	CH	G	R	MK/S11-029	0	0	2000	1	0	Detective, Book	Nero "Hey, Elly, come help! We can do this"	[A] This ability can only be used up to 2 times per turn. When your other <Detective> Character is placed on Stage from hand, during this turn, this card gets +1500 Power.		
Hirano & Saku	S11	MKS11-030_R	CH	G	R	MK/S11-030	1	0	5000	1	0	Police, Weapon	Hirano "Let's go" Saku "Na~"	[C] EXPERIENCE If the total Level of cards in your Levels lot is 2 or higher, this card gets +1000 Power.		
Hercule Barton	S11	MKS11-031_R	CH	G	R	MK/S11-031	2	2	8000	2	1	Detective, Book	Thank you. I shall return to investigation...	[C] If your Stock has 6 or more cards, this card gets +1500 Power.	[A] When this card attacks, if <<Stuffed Toys & Hercule>> is in your Climax slot, choose up to 1 of your <Detective> Characters, place it into Stock, during this turn, this card gets +3000 Power.	
Halloween Night Elly	S11	MKS11-032_R	CH	G	R	MK/S11-032	3	2	10000	2	1	Detective, Book	Eh? Wh- Why...	[C] EXPERIENCE If the total Level of cards in your Level slot is 6 or higher, this card gets +1500 Power.	[A] When this card is placed on Stage from hand or through <<CHANGE>>, you may place the top card of your Clock into Waiting Room.	
Kamitsu Rei	S11	MKS11-033_U	CH	G	U	MK/S11-033	0	0	1500	1	0	Police, Glasses	All G4 members, move out!	[C] All your other <Police> Characters get +500 Power.	[A] [(2)] When this card is placed on Stage from hand, you may pay this cost. If you do, choose 1 Character from your Clock, return it to hand, place the top card of Deck into Clock.	
Cleaning-Loving Cordelia	S11	MKS11-034_U	CH	G	U	MK/S11-034	1	0	5000	1	0	Detective, Sports	Teacher doesn't think so too?	[A] When this card attacks, if <<Carousel>> is in your Climax slot, look at the top card of your opponent's Deck, place it to the top or bottom of Deck.		
Toyama Saku	S11	MKS11-035_U	CH	G	U	MK/S11-035	1	1	1500	1	1	Police, Headphones	Rest is required when you're tired~	[A] When you use this card's <<ASSIST>>, reveal the top card of your Deck. If that card is a <Police> Character, place it into hand, choose 1 card from your hand, place it into Waiting Room. (If its not, return it to its original position)	[S] [COUNTER] ASSIST 1500 Level 2[(1) Discard this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +1500 Power.)	
Useless Cordelia	S11	MKS11-036_U	CH	G	U	MK/S11-036	2	1	6000	1	1	Detective, Sports		[C] EXPERIENCE If the total Level of cards in your Level slot is 3 or higher, all your other Characters get +500 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Hasegawa Hirano	S11	MKS11-037_U	CH	G	U	MK/S11-037	2	2	8500	2	1	Police, Weapon	I wanted to say that but...	[C] For each Marker below this card, this card gets +1000 Power.	[A] When the Character battling this card becomes REVERSE, you may place the top card of your Deck under this card as a Marker.	
Yukata Elly	S11	MKS11-038_C	CH	G	C	MK/S11-038	0	0	1000	1	0	Detective, Kimono	Cute...	[C] SUPPORT All Characters in front of this card gets +500 Power.		
Relaxed Saku	S11	MKS11-039_C	CH	G	C	MK/S11-039	0	0	2000	1	0	Police, Headphones	You're the worrying type aren't you~? You're gonna go bald you know~?	[S] [(2)] Choose 1 of your Characters, during this turn, it gets +4000 Power.		
In Charge Of Close Combat Hirano	S11	MKS11-040_C	CH	G	C	MK/S11-040	0	0	2500	1	0	Police, Weapon	I know Judo, Kendo, and Aikido pretty well	[C] If your Stock has 3 card or less, this card gets +1000 Power.		
Plain Clothes Elly	S11	MKS11-041_C	CH	G	C	MK/S11-041	0	0	3000	1	0	Detective, Book	Kamaboko...! No!			
Uniform Elly	S11	MKS11-042_C	CH	G	C	MK/S11-042	1	1	5000	1	1	Detective, Book	Kobayashi-san, thank you. I- I...	[A] ENCORE [Place the top card of your Deck into Clock] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	[S] [(1)] During this turn, this card gets +2000 Power.	
Hardworking Cordelia	S11	MKS11-043_C	CH	G	C	MK/S11-043	1	1	7000	1	0	Detective, Sports	Nero! Focus on working!			
In Charge Of Information Gathering Saku	S11	MKS11-044_C	CH	G	C	MK/S11-044	2	1	8500	1	1	Police, Headphones	Tasked with information gathering~?			
Ideal Room	S11	MKS11-045_U	EV	G	U	MK/S11-045	1	0			0		An Eastern room for Japanese people!	Search your Deck for up to 1 <Police> Character, show it to your opponent, then place it into hand. Shuffle your Deck afterwards. Choose 1 of your Character, during this turn, it gets +2000 Power. Place this card into Clock.		
Sudden Dizziness	S11	MKS11-046_U	EV	G	U	MK/S11-046	2	0			0		Kobayashi "Are you okay, Hercule?"	Look at the top card of your opponent's Deck, place it to the top or bottom of Deck. Place this card into Stock.		
A Broken Door	S11	MKS11-047_C	EV	G	C	MK/S11-047	1	0			0		Heh... Let's go this way... it'll be okay...	[COUNTER] Choose 1 of your Characters, during this turn, it gets +X Power. X is equals to the number of your <Detective> Characters ×500.		
Transcend	S11	MKS11-048_CR	CX	G	CR	MK/S11-048					2		Don't-Look!	[A] When this card comes to Stage from hand, draw 1 card. Choose 1 of your Characters, during this turn, it gets +2000 Power, +1 Soul.		
Stuffed Toys & Hercule	S11	MKS11-049_CC	CX	G	CC	MK/S11-049					S		Kobayashi "Hercule is good! You got it in one shot!"	[C] All your Characters get +1000 Power, +1 Soul.		
Carousel	S11	MKS11-050_CC	CX	G	CC	MK/S11-050					G		Cordelia "Hehehehe.. This feeling...!"	[C] All your Characters get +1000 Power, +1 Soul.		
Sherlock Shellinford	S11	MKS11-051_RR	CH	R	RR	MK/S11-051	1	1	4500	1	1	Detective, Camera	We should gather information at the scenes up to this point!	[C] SUPPORT All your <Detective> Characters in front of this card gets +X Power. X is equals to that Character's Level ×500.	[A] CHANGE [(1) Place this card to Waiting Room] At the beginning of your Draw Phase, you may pay this cost. If you do, choose 1 <<Clumsy Detective Sheryl>> from your Waiting Room, place it into this card's previous slot.	
Clumsy Detective Sheryl	S11	MKS11-052_RR	CH	R	RR	MK/S11-052	2	2	8500	1	1	Detective, Camera	You're the criminal!	[A] When this card attacks, if <<Sherlock's Pillow>> is in your Climax slot, choose up to 1 card in your opponent's Waiting Room, place it at the top of Deck, during this turn, this card gets +3000 Power.		
IQ1300? Kokoro	S11	MKS11-053_R	CH	R	R	MK/S11-053	0	0	1500	1	0	Police	You guys shall not have any more chances to appear	[C] If you have another <<Kamitsu Rei>>, this card gets +1000 Power.	[A] When this card becomes REVERSE, if the Level of the Character battling this card is 0 or lower, you may REVERSE that Character.	
Snack-Holding Nero	S11	MKS11-054_R	CH	R	R	MK/S11-054	0	0	3500	1	0	Detective, Sweets	Here, open wide. Kobayashi should have some	[C] All your other Characters gain the following ability.<<[C] This card cannot Side Attack.>>		
Airhead Sharo	S11	MKS11-055_R	CH	R	R	MK/S11-055	1	0	4000	1	0	Detective, Camera	Kokoro-chan, look! A rainbow!	[C] For each of your other <Detective> Characters, this card gets +500 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Zenigata Tsugiko	S11	MKS11-056_R	CH	R	R	MK/S11-056	1	1	6500	1	0	Police, Weapon	Heh, today's weather is pretty nice too~!	[A] [(1)] When the Character battling this card becomes REVERSE, you may pay this cost. If you do, choose 1 card from your opponent's Waiting Room, place it on top of Deck.		
Akechi Kokoro	S11	MKS11-057_R	CH	R	R	MK/S11-057	2	2	7500	2	1	Police	Heh... Police Chief...	[C] EXPERIENCE When your opponent's STAND Character becomes REST, if the total Level of card in your Level slot is 3 or higher, during this turn, this card gets +1500 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Energetic Nero	S11	MKS11-058_U	CH	R	U	MK/S11-058	0	0	500	1	0	Detective, Sweets	It's all good because I've had snacks!	[A] [(2)] When this card is placed on Stage from hand, you may pay the cost. If you do, choose 1 <Detective> Character from your Waiting Room, return it to hand.	[A] BOND/<<Brave Yet Single Minded Sheryl>> [(1)] (When you place this card on Stage from hand, you may pay the cost. If you do, choose 1 <<Brave Yet Single Minded Sheryl>> from your Waiting Room and place it into your hand)	
Recording Sharo	S11	MKS11-059_U	CH	R	U	MK/S11-059	0	0	2000	1	0	Detective, Headphones	Ah, eh... Can we lower the mic a little bit?	[A] [Place 1 Climax from hand to Waiting Room] When this card is placed on Stage from hand, you may pay this cost. If you do, choose 1 <Detective> Character from your Waiting Room, return to hand.		
Kobayashi's Rival Kamitsu	S11	MKS11-060_U	CH	R	U	MK/S11-060	1	0	3500	1	0	Police, Glasses	Phantom Thieves are detectives... That idea apparently isn't true	[A] When your other Character becomes REVERSE in battle, choose 1 of your Characters, during this turn, it gets +1000 Power.	[S] [(2) REST this card] Choose 1 <Police> Character from Waiting Room, return to hand.	
Sister Tsugiko	S11	MKS11-061_U	CH	R	U	MK/S11-061	2	1	6500	1	1	Police, Weapon	Cars are easy, I can also work with helicopters and planes.	[C] All your other <Police> Characters get +1000 Power.		
Brave Yet Single Minded Sheryl	S11	MKS11-062_U	CH	R	U	MK/S11-062	3	2	10000	2	1	Detective, Camera	Please wait!	[A] When this card is placed on Stage, you may place the top card of your Clock into the Waiting Room.	[A] [(1)] When this card attacks, if <<Psychokinesis>> is in your Climax slot, you may pay the cost. If you do, choose up to 1 Character from your Waiting Room, return it to hand. During this turn, all your <Detective> Characters get +2000 Power.	
Fortune Cookie Tsugiko	S11	MKS11-063_C	CH	R	C	MK/S11-063	0	0	2500	1	0	Police, Weapon	Let's see here...!	[C] If you have 2 or more other <Police> Characters, this card gets +1000 Power.		
Joint Investigation Kokoro & Sheryl	S11	MKS11-064_C	CH	R	C	MK/S11-064	0	0	3000	1	0	Detective, Police	Sheryl: "Kokoro-chan! Let's find clues together!" Kokoro "Don't call me Kokoro-chan!"	[A] [Put 1 of your Characters in STAND to REST] When this card is placed on Stage from hand, if your opponent has <<Joint Investigation Kokoro & Sheryl, you may pay the cost. If you do, play Rock-Paper-Scissors with your opponent until a winner is reached. The winning player draws 1 card.		
Sheryl Among Rows Of Cherry Blossoms	S11	MKS11-065_C	CH	R	C	MK/S11-065	0	0	3500	1	0	Detective, Camera	Today I shall also try my best!	[A] When this card is placed on Stage from hand, reveal the top card of your Deck. If that card is not a <Detective> Character, place it in Clock. (Otherwise return to as it was)		
Problem Child Nero	S11	MKS11-066_C	CH	R	C	MK/S11-066	1	0	5000	1	0	Detective, Sweets	My.. My snacks!	[A] [(1)] When this card attacks, if <<Direct Hack>> is in the Climax slot, you may pay the cost. If you do, choose 1 card from your Waiting Room, return it to hand.		
G4's Leader Kokoro	S11	MKS11-067_C	CH	R	C	MK/S11-067	1	0	5500	1	0	Detective, Umbrella	Heh, the rain eased off!			
Toys Activate! Sheryl	S11	MKS11-068_C	CH	R	C	MK/S11-068	2	1	2500	1	1	Detective, Camera	Nnn~!	[S] [COUNTER] ASSIST 3000 Level 2[(1) Discard this card from Hand to Waiting Room] (Choose 1 of your Characters being Front Attacked, during this turn, it gets +3000 Power.)		
Gluttonous Nero	S11	MKS11-069_C	CH	R	C	MK/S11-069	2	2	9000	2	1	Detective, Sweets	Omnomnom...			
Let's Inhale!	S11	MKS11-070_U	EV	R	U	MK/S11-070	1	2			0		Suuuuu~! Suuuuu~!	Choose 1 of your STAND Character with <<Sheryl>> in its name, REST it. If you do, choose 1 card from your opponent's Waiting Room, place it into Memory, place this card into Memory.		
Critical Chop	S11	MKS11-071_U	EV	R	U	MK/S11-071	2	0			0		Gaaaaaah!!!	Choose 1 of your Characters, during this turn, it gets +3000 Power. 	Choose 1 of your Characters, during this turn, it gains the following ability<<[A] When this card becomes REVERSE, if the Level of the Character battling this card is equal or lower than this card's Level, you may REVERSE that Character.>>	
PDA	S11	MKS11-072_C	EV	R	C	MK/S11-072	1	0			0		If I don't take this seriously... Seriously... Seriously...	Choose 2 of your STAND Characters, REST them. If you do, choose 1 <Detective> Character from your Waiting Room, return it to hand.		
Psychokinesis	S11	MKS11-073_CR	CX	R	CR	MK/S11-073					D		I can move things with my thoughts... albeit only light things...	[C] All your Characters get +1000 Power, +1 Soul.		
Sherlock's Pillow	S11	MKS11-074_CC	CX	R	CC	MK/S11-074					2		Sheryl: "Do you remember when we first met? I was very happy..."	[A] When this card comes to Stage from hand, draw 1 card. Choose 1 of your Characters, during this turn, it gets +2000 Power, +1 Soul.		
Direct Hack	S11	MKS11-075_CC	CX	R	CC	MK/S11-075					2		My Toy is Direct Hack. I can hack any electronic device.	[A] When this card is placed on Stage from hand, place the top card of your Deck to Stock. During this turn, all of your Characters get +1 Soul.		
Uniform Cordelia	S11	MKS11-076_RR	CH	B	RR	MK/S11-076	1	0	3000	1	0	Detective, Sports	I don't want to be told by unreliable Nero!	[C] SUPPORT All your Characters in front of this card gains <<[A] ENCORE [Discard 1 Character from Hand to Waiting Room] .	[A] When <<Cordelia's Confession>> is placed into your Climax slot, choose 1 of your <Detective> Characters, during this turn, it gets +2000 Power.	
Team Organizer Cordelia	S11	MKS11-077_RR	CH	B	RR	MK/S11-077	2	1	5000	1	1	Detective, Sports	You all should eat more gracefully...	[C] During your opponent's turn, all your other Characters get +1000 Power.	[A] CHANGE [(1) Place this card into Waiting Room] At the beginning of your Draw Phase, you may pay this cost. If you do, choose 1 <<Reliable Sister Cordelia>> from your Waiting Room, place it into this card's previous slot.	
Haloween Night Henriette	S11	MKS11-078_R	CH	B	R	MK/S11-078	0	0	500	1	0	Detective, Mask	If you hide your face, you can't eat curry, no?	[C] SUPPORT All your Characters in front of this card gets +500 Power.	[A] CHANGE [Place this card into Waiting Room] At the beginning of your Draw Phase, you may pay this cost. If you do, choose 1 <<Phantom Thief Arsene>> from your Waiting Room, place it into this card's previous slot.	
Panicking Cordelia	S11	MKS11-079_R	CH	B	R	MK/S11-079	0	0	1500	1	0	Detective, Sports	No, nothing! I'm sorry! All because of me!	[C] All your other <Detective> Characters get +500 Power.	[A] [(1)] When this card is placed on Stage from hand, you may pay this cost. If you do, choose 1 card from your Level slot and 1 card from your Waiting Room, exchange them.	
Timid Elly	S11	MKS11-080_R	CH	B	R	MK/S11-080	1	0	4500	1	0	Detective, Book	T... Thanks... We'll continue the investigation...	[A] When this card is placed on Stage from hand, during this turn, this card gets +X. X is equals to the number of your <Detective> ×500.	[A] [(1)] When this card attacks, if <<Black Cat Bookmark>> is in your Climax slot, you may pay this cost. If you do, draw 1 card.	
Tea-Loving Cordelia	S11	MKS11-081_R	CH	B	R	MK/S11-081	1	1	5500	1	0	Detective, Sports	Ah!	[C] EXPERIENCE During your opponent's turn, if the total Level of cards in your Level slot is 1 or higher, all your other Characters get +500 Power.	[A] ENCORE [Discard 1 Character from Hand to Waiting Room] (When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, place this card in its previous slot in REST)	
Sighing Cordelia	S11	MKS11-082_R	CH	B	R	MK/S11-082	2	2	8000	2	1	Detective, Sports	*sigh*	[C] During your opponent's turn, for each of your other <Detective> Character, this card gets +500 Power.	[A] When this card attacks, if <<Super Sensitivity>> is in your Climax slot, search your Deck for up to 1 <Detective> Character, show it to your opponent, then place it into hand. Shuffle your Deck afterwards.	
President-Admiring Elly	S11	MKS11-083_U	CH	B	U	MK/S11-083	0	0	1000	1	0	Detective, Book	Kobayashi... Chief... uh... is marvelous, no?	[A] BOND/<<Tea-Loving Cordelia>>[Place the top card of your Deck into Clock] (When this card is played to Stage, you may pay this cost. If you do, choose 1 <<Tea-Loving Cordelia>> from your Waiting Room, return to hand)		
Phantom Thief Empire Leader Arsene	S11	MKS11-084_U	CH	B	U	MK/S11-084	0	0	1500	1	0	Phantom Thief, Mask	My dear knights of the Phantom Thief Empire... Three Card...	[C] All your other <<"Three Cards" Twenty>>, <<"Three Cards" Stone River>> and <<"Three Cards" Rat>> get +1000 Power.		
Perfect Butler Tachi	S11	MKS11-085_U	CH	B	U	MK/S11-085	2	1	7000	1	1	Butler	The Lady calls	[A] [(2)] When this card is placed into Waiting Room from Stage, you may pay this cost. If you do, search your Deck for up to 1 <Phantom Thief> Character, show it to your opponent, then place into hand. Shuffle your Deck afterwards.		
Student Council President Henriette	S11	MKS11-086_U	CH	B	U	MK/S11-086	2	2	8500	2	1	Detective, Student Council	I can handle the follow-up work	[C] EXPERIENCE If the total Level of cards in your Level slot is 3 or higher, this card gains <<[A] ENCORE [Discard 1 Character from Hand to Waiting Room] >>.		
Reliable Sister Cordelia	S11	MKS11-087_U	CH	B	U	MK/S11-087	3	2	10000	2	1	Detective, Sports	Everyone, follow me	[A] When this card is placed on Stage from hand or through <<CHANGE>>, you may place the top card of your Clock into Waiting Room.	[S] [(4) REST 2 of your Characters] Search your Deck for up to 2 <Detective> Characters, show them to your opponent, place them into hand. Shuffle your Deck afterwards.	
Arsene's Butler Yukata	S11	MKS11-088_C	CH	B	C	MK/S11-088	0	0	2000	1	1	Butler, Phantom Thief	No matter who you rely on, you will not be disappointed	[A] When this card is placed on Stage from hand, choose 1 of your <Phantom Thief> Characters, during this turn, it gets +1500 Power.		
Cordelia & Elly	S11	MKS11-089_C	CH	B	C	MK/S11-089	0	0	2500	1	0	Detective, Sports	Cordelia "Here, Elly. Look forward"	[C] During your opponent's turn, this card gets +1000 Power.		
Cordelia Glauca	S11	MKS11-090_C	CH	B	C	MK/S11-090	0	0	3000	1	0	Detective, Sports	Oh, that's where it is. Let's hurry!			
Drawn Into Thoughts Elly	S11	MKS11-091_C	CH	B	C	MK/S11-091	1	0	1500	1	0	Detective, Book	If a lot of people look at me... I get embarassed	[S] [COUNTER] ASSIST 1500 Level 1 [Discard this card from hand to Waiting Room] (Choose 1 Character being Front Attacked, during this turn, it gets +1500 Power)		
Phantom Thief Arsene	S11	MKS11-092_C	CH	B	C	MK/S11-092	1	0	5500	1	0	Phantom Thief, Mask	Next up is me... Arsene shall test you!			
Former Famous Detective Kobayashi	S11	MKS11-093_C	CH	B	C	MK/S11-093	1	1	3500	1	1	Detective	That Toy is the miracle that only you can make happen.	[C] SUPPORT All your Level 2 and Above Characters in front of this card get +1000 Power.	[S] [Put this card to REST] Choose 1 of your <Detective> Characters, during this turn, it gets +1 Level.	
Shy Girl Elly	S11	MKS11-094_C	CH	B	C	MK/S11-094	2	2	9000	2	1	Detective, Book	Eh!? Ehhhhhhh!?			
Return Evil For Good	S11	MKS11-095_U	EV	B	U	MK/S11-095	2	2			0		Pervert!!! Pervert!!! Cri-mi-nalllll!!!	Choose 1 of your STAND <Sports> Characters, REST it. If you do, choose 1 of your opponent's Front Row Characters with Level 3 or lower, place it at the bottom of Deck.		
Cordelia's Flower Garden	S11	MKS11-096_U	EV	B	U	MK/S11-096	3	2			0		Cordelia "My... Garden..."	Place 2 cards from the top of your Clock into Waiting Room.	Choose 1 of your Characters, during this turn, it gets +3000 Power. Place this card into Memory.	
Cat-Ear Magnifying Glass	S11	MKS11-097_C	EV	B	C	MK/S11-097	2	2			0		Where do Phantom Thieves come from?	Search your Deck for up to 2 <Detective> Characters, place them in your hand. Shuffle your Deck afterwards.		
Super-sensitivity	S11	MKS11-098_CR	CX	B	CR	MK/S11-098					2		Follow my lead!	[A] When this card comes to Stage from hand, draw 1 card. Choose 1 of your Characters, during this turn, it gets +2000 Power, +1 Soul.		
Cordelia's Confession	S11	MKS11-099_CC	CX	B	CC	MK/S11-099					2		I...! Teacher....! No! You.... Your....	[A] When this card comes on Stage from hand, put the top card of your Deck to Stock. During this turn, all of your Characters get +1 Soul.		
