Name	Set	ImageFile	Type	Colour	Rarity	Serial	Level	Cost	Power	Soul	Trigger	Traits	Flavour	Ability 1	Ability 2	Ability 3
Angered Cyrille	S04	SES04-013_C	CH	Y	C	SE/S04-013	0	0	500	1	0	Magic, Book		[C] ASSIST All of your Characters in front of this card gets +500 Power.	[S] [(1)] Choose 1 Level 0 and below Character in you opponent's Back Row and put that card to the Stock.	
Smiling Cyrille	S04	SES04-014_C	CH	Y	C	SE/S04-014	0	0	1000	1	0	Magic, Book		[A] BOND / <<The Chosen One Toma>> [(1)] When this card is played onto the Stage, you may pay the cost. If you do so, choose 1 <<The Chosen One Toma>> in your Waiting Room and return it to your hand.		
Gilnay & Hikanay	S04	SES04-015_C	CH	Y	C	SE/S04-015	0	0	1000	1	0	Animal, Twins		[A] [(2)] When this card is played onto your Stage from your hand, you may pay the cost. If you do so, choose up to 1 <<Skill Artisan Gantetsu>> from your Deck, show it to your opponent and add it to your hand.	[A] When the Character in battle with your other Characters is changed to REVERSE, choose 1 of your Characters. That Character gains +1000 Power for that turn.	
Toma & Cyrille	S04	SES04-016_C	CH	Y	C	SE/S04-016	0	0	3000	1	0	Weapon, Book				
Golden Knight Avalon	S04	SES04-017_C	CH	Y	C	SE/S04-017	1	1	3500	1	1	Weapon, Undead		[C] ALARM If this card is at the top of your Clock Area and you have less cards in your hand than your opponent, all of your Characters gain +1000 Power. 		
Kind-hearted Knight Gadfort	S04	SES04-018_C	CH	Y	C	SE/S04-018	2	1	1500	1	1	Animal, Weapon		[A] When you use the BACKUP ability of this card, put the top 3 cards of your opponent's Deck into the Waiting Room. 	[S] BACKUP 3000 Level 2 [(1) Put this card from your hand to the Waiting Room] (Choose 1 of your Characters being Front Attacked, that Character gains +3000 Power for that turn.) 	
Curse of the Sacred Sword Toma & Cyrille	S04	SES04-019_C	CH	Y	C	SE/S04-019	2	1	8500	1	1	Weapon, Book				
Guardian of the Geo-Fortress	S04	SES04-020_U	EV	Y	U	SE/S04-020	2	1			0			Choose 1 of your Characters and return that card to the hand. If you do so, choose up to 1 Level 2 and below Character with 2 Cost and below from you're your hand and put that card onto your Stage.		
Another Sacred Sword	S04	SES04-021_U	EV	Y	U	SE/S04-021	2	4			0			All your Characters get +3000 Power and +1 Soul for this turn. 		
Toma's Stubborness	S04	SES04-022_C	EV	Y	C	SE/S04-022	1	1			0			Choose 1 of your Characters, that Character gains +2000 Power for that turn. If you have 4 or more Climax cards in your Waiting Room, choose 1 of your Characters, that Character gains +1000 Power for that turn.		
VS Boar	S04	SES04-023_CR	CX	Y	CR	SE/S04-023					2			[A] When this card is played onto your Climax Area, put the top card of your Deck into the Stock. All of your Characters gain +1 Soul for that turn. 		
Sacred Sword Shining Force	S04	SES04-024_CC	CX	Y	CC	SE/S04-024					1W			[C] All of your Characters gain +1000 Power and +1 Soul. 	(Wind: When this card is Triggered, you may choose 1 of your opponent's Characters and return that card to the hand.)	
Cyrille's Feelings	S04	SES04-025_CC	CX	Y	CC	SE/S04-025					2			[C] All of your Characters gain +2 Soul. 		
Glutton Maebelle	S04	SES04-026_RR	CH	G	RR	SE/S04-026	0	0	1500	1	0	Weapon, Magic		[A] When this card is played from your hand onto your Stage, choose 1 Character in your opponent's Back Row, that Character gains -1000 Power for that turn.		
Lost Faulkin	S04	SES04-027_RR	CH	G	RR	SE/S04-027	2	2	8500	2	1	Animal, Magic		[A] When this card attacks and <<Faulklin's Self Introduction>> is in play, this card gains the following ability for that turn. <<[A] At the beginning of youe Encore Step, change this card to REST and move it to any border on your Stage.>>		
Girl of the Magical Tribe Amitaliri	S04	SES04-028_R	CH	G	R	SE/S04-028	0	0	2000	1	0	Demon, Magic		[A] When this card is played onto the Stage from your hand, choose 1 of your <Animal> Characters. That Character gains +2000 Power for that turn		
Quintol Race Faulklin	S04	SES04-029_R	CH	G	R	SE/S04-029	0	0	2500	1	0	Demon, Magic		[C] All of your other <<Bomber Girl Amitaliri>> gain +1000 Power.		
Young Lion Monarch Ragnadaam	S04	SES04-030_R	CH	G	R	SE/S04-030	1	0	5000	1	0	Royalty, Weapon		[C] If you have 2 or more other Characters with the ASSIST ability, this card gains +1000 Power.		
Young Man of the Beastmen Faulklin	S04	SES04-031_R	CH	G	R	SE/S04-031	1	1	5000	1	1	Animal, Magic		[A] ENCORE [Put 1 Character from your hand to the Waiting Room] (When this card is put into the Waiting Room from your Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.	[S] [(2)] Choose 1 of your Characters with <<Amitaliri>> in the name, that card gains +2500 Power and this card gains +2500 Power until the end of turn. 	
Resident of the Forest Maebelle	S04	SES04-032_R	CH	G	R	SE/S04-032	2	2	8000	2	1	Weapon, Magic		[C] When this card is in battle, if the Level of the Character in battle with this card is lower than this card's Level, this card gains +1000 Power. 	[A] When this card attacks and <<Warrior of the Elves>> is in play, choose 1 of your opponent's Characters. That Character gains -1500 Power for that turn.	
Skilled Artisan Gantetsu	S04	SES04-033_U	CH	G	U	SE/S04-033	0	0	2500	1	0	Weapon, Forge		[S] [(1) Change this card to REST] Choose 1 of your <Weapon> Characters, that Character gains +2500 Power for that turn. 		
Proud Werewolf Duga	S04	SES04-034_U	CH	G	U	SE/S04-034	1	1	1000	1	1	Animal, Muscle		[A] When you use the BACKUP ability of the card, put the top 3 cards of your Deck into the Waiting Room.	[S] BACKUP 2000 Level 1 [(1) Put this card from your hand into the Waiting Room] (Choose 1 of your Characters being Front Attacked, that Character gains +2000 Power for that turn.)	
Amitaliri & Faulklin	S04	SES04-035_U	CH	G	U	SE/S04-035	1	1	5500	1	1	Demon, Animal		[A] When this card attacks and <<Aim for it! La Vaes>> is in play, put the top card of your Deck into the Stock.		
Self Proclaimed Genius Witch Amitaliri	S04	SES04-036_U	CH	G	U	SE/S04-036	2	2	8000	2	1	Demon, Magic		[A] ENCORE [Put 1 Character from your hand to the Waiting Room] (When this card is put into the Waiting Room from your Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.) 		
The King Who Aims for the Skies Ragnadaam	S04	SES04-037_U	CH	G	U	SE/S04-037	3	2	9500	2	1	Royalty, Weapon		[A] When this card is played onto your Stage from your hand, you may put the top card of your Clock Area into the Waiting Room.	[S] [(2)] Choose 1 of your Characters, that Character gains +4000 Power for that turn.	
Waving Tail Faulklin	S04	SES04-038_C	CH	G	C	SE/S04-038	0	0	500	1	0	Animal, Magic		[A] BOND / <<Self Proclaimed Genius Witch Amitaliri>> [(1)]When this is played onto your Stage, you may pay the cost. If you do so, choose 1 <<Self Proclaimed Genius Witch Amitaliri>> in your Waiting Room and return it to your hand.	[S] [Put 1 of your ASSIST Characters to REST] This card gains +1000 Power for that turn. 	
The Only One Who Understands the Emperor Catheana	S04	SES04-039_C	CH	G	C	SE/S04-039	0	0	500	1	0	Royalty		[C] ASSIST All of your Characters in front of this card gets +500 Power.	[S] [Put this card to REST] Choose 1 of your <Royalty> Characters. It gains +500 Power	
Bomber Girl Amitaliri	S04	SES04-040_C	CH	G	C	SE/S04-040	0	0	3000	1	0	Demon, Magic				
Rather Overconfident Amitaliri	S04	SES04-041_C	CH	G	C	SE/S04-041	1	0	4500	1	0	Demon, Magic		[S] [Change 2 of your Characters to REST] Choose 1 of your Characters, that Character gains the following ability for that turn. <<[A] When the Character in battle with this card is changed to REVERSE, you may put the top card of your Deck into the Stock.>>		
Archer Maebelle	S04	SES04-042_C	CH	G	C	SE/S04-042	1	1	2500	1	1	Weapon, Magic		[C] ASSIST All of your Characters in front of this card gets +500 Power.	[A] When this card is played onto the Stage from your hand, choose 1 of your opponent's Characters, that Character gains -500 Power for that turn. 	
Ragnadaam III	S04	SES04-043_C	CH	G	C	SE/S04-043	2	1	6000	1	1	Royalty, Weapon		[C] ALARM If this card is at the top of your Clock and you have a Climax in your Climax Area, all of your Characters gain +1000 Power.		
Wild Beast Duga	S04	SES04-044_C	CH	G	C	SE/S04-044	2	1	8500	1	1	Animal, Muscle				
Pursuer	S04	SES04-045_U	EV	G	U	SE/S04-045	2	0			0			[COUNTER] Choose 1 of your Characters being Front Attacked, put that Character into the Stock. Put this card into the Stock.		
Magical Castle	S04	SES04-046_U	EV	G	U	SE/S04-046	2	3			0			Look at your opponent's hand. Choose up to 1 of your opponent's Characters, that Character gains -1000 Power for that turn. Choose up to 1 Character in your Clock Area and return that card to your hand. Put this card to the Memory Area.		
The Majesty of the King	S04	SES04-047_C	EV	G	C	SE/S04-047	2	2			0			[COUNTER] Choose 1 of your Characters, that Character gains +6000 Power for that turn.		
Aim for it! La Vaes	S04	SES04-048_CR	CX	G	CR	SE/S04-048					2			[C] All of your Characters gain +2 Soul. 		
Faulklin's Self Introduction	S04	SES04-049_CC	CX	G	CC	SE/S04-049					S			[C] All of your Characters gain +1000 Power and +1 Soul.	(Bag: When this card is Triggered, you may put the top card of your Deck to your Stock.)	
Warrior of the Elves	S04	SES04-050_CC	CX	G	CC	SE/S04-050					2			[A] When this card is played from your hand, draw 1 card and choose 1 of your Characters. That Character gains +3 Soul for that turn. 		
Riemsianne La Vaes	S04	SES04-051_RR	CH	R	RR	SE/S04-051	3	2	10000	2	1	Demon, Royalty		[C] If you have 6 or more Climax cards in your Waiting Room, this card in your hand gains -1 Level	[A] When this card is played onto the Stage from your hand, you may put the top card of your Clock Area into your Waiting Room. 	
Pretty Heroine Amitaliri	S04	SES04-052_RR	CH	R	RR	SE/S04-052	2	2	8500	2	1	Demon, Magic		[A] When <<I'll Become La Vaes Someday!>> is played onto your Climax Area and this card is in your Back Row, choose up to 1 <Animal> Character with 1 Cost and below from your Waiting Room and either return it to your hand or put it on your Stage in REST. 		
Moody Amitaliri	S04	SES04-053_R	CH	R	R	SE/S04-053	0	0	500	1	0	Demon, Magic		[A] BOND / <<Amitaliri's Attendant Faulklin>> [(1)] (When this card is played onto your Stage, you may pay the cost. If you do so, choose 1 <<Amitaliri's Attendant Faulklin>> from your Waiting Room and return it to your hand.)	 [S] [(1)] Choose 1 of your opponent's Level 0 and below Character in the Back Row and put that Character in the Waiting Room. 	
Witch Amitaliri	S04	SES04-054_R	CH	R	R	SE/S04-054	1	1	5000	1	1	Demon, Magic		[C] If you have 3 or more other <Magic> Characters, this card gains +1000 Power. 	[A] ENCORE [Put 1 Character from your hand to the Waiting Room] (When this card is put into the Waiting Room from your Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.) 	
Amitaliri's Attendant Faulklin	S04	SES04-055_R	CH	R	R	SE/S04-055	2	1	5000	1	1	Animal, Magic		[C] ASSIST All of your Characters in front of this card gains +X Power. X is equal to the Level of the Character x500.	[S][Change this card to REST] Choose 1 of your <Demon> Characters, that Character gains +500 Power for that turn	
Phoenix User Amitaliri	S04	SES04-056_R	CH	R	R	SE/S04-056	2	2	8500	2	1	Demon, Magic		[C] For each other Character with <<Faulklin>> in the name in your Back Row, this card gains +500 Power.		
Queen of Fyrlandt Riemsianne	S04	SES04-057_R	CH	R	R	SE/S04-057	2	1	7000	1	1	Demon, Royalty		[A] [(2)] When <<That is Mine>> is played onto your Climax Area and this card is in your Back Row, you may pay the cost. If you do so, choose up to 1 Level 2 and below <Demon> Character in your Deck and put that card onto your Stage. Shuffle the Deck.	[A] ENCORE [Put 1 Character from your hand to the Waiting Room] (When this card is put into the Waiting Room from your Stage, you may pay the cost. If you do so, put this card in REST in the border it was in.) 	
Strongest Theory of the Spherical Defense Adam	S04	SES04-058_U	CH	R	U	SE/S04-058	0	0	1500	1	0	Mecha		[A] [(2)] When this card is put into the Waiting Room from the Stage, you may pay the cost. If you do so, choose 1 Character in your Waiting Room and return it to your hand. 		
Loyal Dog Faulklin	S04	SES04-059_U	CH	R	U	SE/S04-059	0	0	2000	1	0	Animal, Magic		[S] CONCENTRATE [(2) Change this card to REST] Overturn the top 4 cards of your Deck and put them in your Waiting Room. For each Climax among the cards overturned, choose 1 Climax in your Waiting Room and return it to your hand.		
Hell Fire of the Purgatory Riemsianne	S04	SES04-060_U	CH	R	U	SE/S04-060	0	0	2500	1	0	Demon, Royalty		[A] When the damage dealt by this card is cancelled, you may choose 1 card in your opponent's Waiting Room and put it on top of the Deck. 		
Seducing Riemsianne	S04	SES04-061_U	CH	R	U	SE/S04-061	1	0	5000	1	0	Demon, Royalty		[A] [(1)] If this card declares a Side Attack and <<La Vaes' Seduction>> is in play, you may pay the cost. If you do so, choose 1 Character facing this card and give it the following ability until the end of your opponent's next turn. <<[C] This card cannot attack.>>		
Shocked Amitaliri	S04	SES04-062_U	CH	R	U	SE/S04-062	1	0	5500	1	0	Demon, Magic				
Swimsuit Cyrille & Amitaliri	S04	SES04-063_C	CH	R	C	SE/S04-063	0	0	3000	1	0	Magic, Swimsuit				
The One Who Succeeds the Name of La Vaes Riemsianne	S04	SES04-064_C	CH	R	C	SE/S04-064	0	0	2500	1	0	Demon, Royalty		[C] If you have 1 or less other Characters in your Back Row, this card gains +1000 Power.		
Timid Faulklin	S04	SES04-065_C	CH	R	C	SE/S04-065	0	0	1000	1	0	Animal, Magic		[C] ASSIST All of your Characters in front of this card gain +500 Power.		
The Queen's Aide Lurnaezel	S04	SES04-066_C	CH	R	C	SE/S04-066	1	0	3500	1	0	Demon, Magic		[C] All of your other <<Royalty>> Characters gain +500 Power.	[A] [(4) Change this card to REST] Deal 6 damage to your opponent. (Damage can be cancelled) 	
Crybaby Faulklin	S04	SES04-067_C	CH	R	C	SE/S04-067	1	0	4500	1	0	Animal, Magic		[A] [(2)] When this card is played onto your Stage from your hand, you may pay the cost. If you do so, choose up to 1 Character with the ASSIST ability and return it to your hand	[A] This ability can only be used up to 3 times per turn. When another Character with the ASSIST ability is played from your hand to the Stage, this card gains +1000 Power for that turn. 	
Chief of the Magical Tribe Riemsianne	S04	SES04-068_C	CH	R	C	SE/S04-068	1	1	1500	1	1	Demon, Royalty		[A] When you use the BACKUP Ability of this card and you have a Character with [Ragnadaam] in the name on your Stage, choose 1 of your Characters in battle, that Character gains +1000 Power for that turn.	 [S] BACKUP 1500 Level 1 [(1) Put this card from your hand to the Waiting Room] (Choose 1 of your Characters being Front Attacked, that Character gains +1500 Power for that turn.) 	
Rivals Cyrille & Amitaliri	S04	SES04-069_C	CH	R	C	SE/S04-069	2	2	9000	2	1	Magic, Demon				
The Released Skyship	S04	SES04-070_U	EV	R	U	SE/S04-070	1	0			0			Choose 1 of your opponent's Level 0 and below Characters and put it into the Waiting Room. 		
Young Lion Monarch VS La Vaes	S04	SES04-071_U	EV	R	U	SE/S04-071	2	2			0			Choose up to 2 Characters in your Waiting Room and return them to your hand. 		
Crimson Palace	S04	SES04-072_C	EV	R	C	SE/S04-072	1	1			0			[COUNTER] You cannot play this card from your hand if you don't have a <Demon> Character. Choose 1 of you Characters, that Character gains +1 Level and +2500 Power for that turn. 		
La Vaes' Seduction	S04	SES04-073_CR	CX	R	CR	SE/S04-073					2			[C] All of your Characters gain +2 Soul. 		
I'll Become La Vaes Someday!	S04	SES04-074_CC	CX	R	CC	SE/S04-074					2			[A] When this card is played, draw 1 card and choose 1 of your Characters. That Character gains +3 Soul for that turn.		
That is Mine	S04	SES04-075_CC	CX	R	CC	SE/S04-075					D			[C] All of your Characters gain +1000 Power and +1 Soul. 	(Door: When this card is Triggered, you may return 1 Character from your Waiting Room to your hand.) 	
Master of the Sacred Sword Cyrille	S04	SES04-076_RR	CH	B	RR	SE/S04-076	2	1	6000	1	1	Magic, Book		[C] If you have other <<Zenus & Zhirra>> on your Stage, all of your other <<Master of the Sacred Sword Toma>> gain +1 Level and +1000 Power. 	 [A] At the beginning of your opponent's Attack Phase, you may choose this card and 1 Character with <<Toma>> in the name. Change the selected cards to STAND and switch their borders with each other. 	
Cat Ear Cyrille	S04	SES04-077_RR	CH	B	RR	SE/S04-077	2	2	8500	2	1	Magic, Book		[A] [(3)] If this card attacks when <<Cyrille's Truth>> is in play and you have a Level 2 and above <Weapon> Character, you may pay the cost. If you do so, you may choose up to 2 cards in your Clock Area and put the cards in the Waiting Room. 		
Master of the Sacred Sword Toma	S04	SES04-078_R	CH	B	R	SE/S04-078	2	2	8500	2	1	Weapon		[A] If you have another Character with <<Cyrille>> in the name during your opponent's turn, this card gains the following ability. <<[A] ENCORE [Put 1 Character from your hand to the Waiting Room]>>		
Cook Cyrille	S04	SES04-079_R	CH	B	R	SE/S04-079	0	0	1000	1	0	Magic, Book		[A] When another Character with the ASSIST ability is played from your hand onto the Stage, look at the top card of your Deck and put it either at the top or bottom of your Deck	 [S] CONCENTRATE [(1)] Overturn the top 3 cards of your Deck and put them in your Waiting Room. Draw up to X cards, choose X cards from your hand and put them in the Waiting Room. X is equal to the number of Climax cards in the overturned cards x2. 	
Changing Cyrille	S04	SES04-080_R	CH	B	R	SE/S04-080	1	0	3000	1	0	Magic, Book		[A] This ability can only be used up to once per turn. When your Characters are being attacked, choose 1 of your Characters. That Character gains +1000 for that turn.	[A] [(2)]When the damage dealt by your Characters is cancelled, you may pay the cost. If you do so, put the top card of your Clock Area into your Waiting Room.	
Overflowing with Sense of Justice Toma	S04	SES04-081_R	CH	B	R	SE/S04-081	1	0	5000	1	0	Weapon		[A] If this card attacks when <<Power of the Sacred Sword>> is in play, draw 1 card and put 1 card in your hand to the Waiting Room. 		
The Ones Who Know Their Destiny Cyrille & Zhirra	S04	SES04-082_R	CH	B	R	SE/S04-082	1	1	3500	1	1	Book, Animal		[C] ASSIST All of your Characters in front of this card gain +1000 Power during your opponent's turn	[S] [Change this card to REST] Look at the top card of your Deck. (Return the seen card to its original position) 	
Hot-blooded Man Toma	S04	SES04-083_U	CH	B	U	SE/S04-083	0	0	500	1	0	Weapon		[A] BOND / <<Cat Ear Cyrille>> [(1)] (When this card is played onto the Stage, you may pay the cost. If you do so, choose 1 <<Cat Ear Cyrille>> in your Waiting Room and return it to your hand.) 	 [S] [Change this card to REST] Choose 1 of your Characters with <<Cyrille>> in the name, that Character gains +500 Power for that turn.	
Zenus & Zhirra	S04	SES04-084_U	CH	B	U	SE/S04-084	0	0	1000	1	0	Animal		[C] All of your Characters in front of this card gain +1 Level. 		
Ancient Dragon Garyu	S04	SES04-085_U	CH	B	U	SE/S04-085	1	1	7000	1	1	Dragon		[A] When this card is played onto the Stage, you may put 1 <<Ancient Dragon Garyu>> from your hand into the Waiting Room. If you do so, draw 1 card. If not, put this card into the Waiting Room. 		
Double Sacred Sword Toma & Cyrille	S04	SES04-086_U	CH	B	U	SE/S04-086	2	1	8000	1	1	Weapon, Book		[A] If this card attacks when <<Blade of Destiny>> is in play and you have a Character in REVERSE with <<Toma>> or <<Cyrille>> in the name, draw 1 card. This card gains +2000 Power for that turn.		
Master Cyrille	S04	SES04-087_U	CH	B	U	SE/S04-087	3	2	10000	2	1	Magic, Book		[A] When this card is played onto the Stage from your hand, you may put the top card of your Clock Area into the Waiting Room.	 [A] [(3)] When this card is played onto the Stage from your hand, you may pay the cost. If you do so, choose up to 2 of your opponent's Level 2 and below Characters. The selected Characters do not change to STAND during your opponent's next Stand Phase. 	
Money Before Life Bornay	S04	SES04-088_C	CH	B	C	SE/S04-088	0	0	1500	1	0	Animal, Merchant		[S] [(2) Change this card to REST] Choose up to 1 <Weapon> Character from your Deck, show it to your opponent and add it to your hand. Shuffle the Deck.	[S][Change this card to REST] Choose 1 card in your hand and put it to Stock. 	
Commander Phillip	S04	SES04-089_C	CH	B	C	SE/S04-089	0	0	1500	1	0	-		[A] [(3)] When this card is played onto the Stage from your hand, you may pay the cost. If you do so, choose 1 <<Muscle>> Character with a Level equal to or lower than yours and at Cost 1 and below, and put that Character onto your Stage. Shuffle the Deck. That Character gains +2000 Power for that turn.		
Master of Geo-Fortress Toma	S04	SES04-090_C	CH	B	C	SE/S04-090	0	0	2500	1	0	Weapon		[S] [Change 2 of your Characters to REST] This card gains +2000 Power for that turn. 		
Embarrassed and Angry Cyrille	S04	SES04-091_C	CH	B	C	SE/S04-091	0	0	3000	1	0	Magic, Book				
Swimsuit Cyrille	S04	SES04-092_C	CH	B	C	SE/S04-092	1	0	1500	1	0	Book, Swimsuit		[S] BACKUP 1500 Level 1 [Put this card from your hand to the Waiting Room] (Choose 1 of your Characters being Front Attacked, that Character gains +1500 Power for that turn.) 		
Honor Student Cyrille	S04	SES04-093_C	CH	B	C	SE/S04-093	1	0	5500	1	0	Magic, Book				
'Single Horned" Garyu	S04	SES04-094_C	CH	B	C	SE/S04-094	2	2	9000	2	1	Dragon				
Anti-Climax	S04	SES04-095_U	EV	B	U	SE/S04-095	1	1			0			Look at up to 2 cards from the top of your Deck, choose up to 1 card and add it to your hand. Put the rest of the cards in the Waiting Room. 		
The Awakening of Geo-Fortress	S04	SES04-096_U	EV	B	U	SE/S04-096	1	3			0			Choose 2 of your Characters and change them to REST. If you changed 2 Characters to REST, choose up to 2 Level 1 and below Characters in your opponent's Back Row and put them to the bottom of the Deck in any order you like.		
It's a Rematch	S04	SES04-097_C	EV	B	C	SE/S04-097	1	1			0			Look at your Deck and choose up to 1 Climax, show it to your opponent and add it to your hand. Shuffle the Deck. 		
Power of the Sacred Sword	S04	SES04-098_CR	CX	B	CR	SE/S04-098					2			[C] All of your Characters gain Soul +2.		
Blade of Destiny	S04	SES04-099_CC	CX	B	CC	SE/S04-099					2			[C] When this card is played from your hand, put the top card of your Deck to the Stock. All of your Characters gain +1 Soul for the turn. 		
Cyrille's Truth	S04	SES04-100_CC	CX	B	CC	SE/S04-100					B			[A] All of your Characters gain +1000 Power and +1 Soul. 	(Book: When this card is Triggered, you may draw 1 card.)	
Energetic Toma	S04	SES04-101_TD	CH	Y	TD	SE/S04-101	1	0	5000	1	0	Weapon	Ah, that's it. I too, feel it..	[A] ENCORE [Place 1 Character card from your hand into Waiting Room] (When this card leaves the Stage into the Waiting Room, you may pay cost to activate this ability. After that, this card is placed in REST on it's previous Border.		
Knowledgable Cyrille	S04	SES04-102_TD	CH	B	TD	SE/S04-102	1	0	2500	1	0	Magic, Book	Again, as always.. that's why I want to speak with Toma	[C] All Characters in front of this card gains +500 Power	[S][(2) Put this card to REST] Draw 1 card	
Shining Force Feather	S04	SFS04-103_PR	EV	B	PR	SF/S04-103	1	0			0			Draw 1 card, then select one card from your hand and place it into Waiting Room		
Cyrille & Amitaliri & Faulkin	S04	SES04-104_PR	CH	B	PR	SE/S04-104	1	1	4000	1	1	Magic		[C] All your other <Weapon> Characters get +500 Power		
Gin	S04	SFS04-105_PR	CH	Y	PR	SF/S04-105	2	1	8500	1	1	Weapon				
Unfriendly Cyrille	S04	SES04-106_PR	CH	Y	PR	SE/S04-106	0	0	3000	1	0	Magic, Book				
Bookish Girl Cyrille	S04	SES04-107_PR	CH	B	PR	SE/S04-107	0	0	2000	1	0	Magic, Book		[C] For each of your other <Book> Characters, this card gains +500 Power		
Hearts Calling Each Other Toma & Cyrille	S04	SES04-108_PR	CH	Y	PR	SE/S04-108	1	1	5500	1	1	Magic, Book		[S] [(1)] During this turn, this card gains +1 Soul		
Angered Cyrille TD	S04	SES04-T01_TD	CH	Y	TD	SE/S04-T01	0	0	500	1	0	Magic, Book	Toma, It's becasue you are an idiot!	[C] ASSIST All of your Characters in front of this card gets +500 Power.	[S] [(1)] Choose 1 Level 0 and below Character in you opponent's Back Row and put that card to the Stock.	
Cyrille & Zhirra TD	S04	SES04-T02_TD	CH	Y	TD	SE/S04-T02	0	0	1500	1	0	Book, Animal	Cyrille "We're.. in the same boat.."	[A] [(2)] When this card is played from your hand onto the Stage, you may pay the cost. If you do so, choose up to 1 ASSIST Character from your Deck, show it to your opponent and add it to your hand. Shuffle the Deck.		
Way of the Knight Gadfort TD	S04	SES04-T03_TD	CH	Y	TD	SE/S04-T03	0	0	2000	1	0	Animal, Weapon	My only desire... is to embrace Chivalry to the fullest	[S] [(2)] Choose 1 of your Characters, that Character gains +2000 Power and +1 Soul for that turn.		
Toma & Cyrille TD	S04	SES04-T04_TD	CH	Y	TD	SE/S04-T04	0	0	3000	1	0	Weapon, Book	Toma: "More or less, I hate doing almost nothing and running away"			
Golden Knight Avalon TD	S04	SES04-T05_TD	CH	Y	TD	SE/S04-T05	1	1	3500	1	1	Weapon, Undead	Regrets from 1000 years ago. Now, I will fulfill them!	[C] ALARM If this card is at the top of your Clock Area and you have less cards in your hand than your opponent, all of your Characters gain +1000 Power. 		
